#p2
#QuimP output - /home/baniuk/Documents/Quimp-developing/quimp-user-request/experiment1/Composite-after-macro_1.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 0.1716179592016058 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
94,225.72,239.89,7.17,17.35,0.41,0.19,71.77,1.02,0.460,188.62
95,226.57,239.25,7.05,17.53,0.40,0.18,70.58,1.04,0.472,187.20
96,227.52,237.67,6.78,17.85,0.38,0.32,69.53,1.11,0.481,185.23
97,228.94,236.31,6.55,18.18,0.36,0.34,69.65,1.21,0.485,187.44
98,230.83,235.05,6.36,18.57,0.34,0.39,65.65,1.38,0.539,184.76
99,232.36,234.25,6.26,18.87,0.33,0.30,65.40,1.47,0.547,186.23
100,233.73,234.01,6.25,19.11,0.33,0.24,66.49,1.57,0.532,187.23
101,234.43,233.90,6.26,19.23,0.33,0.12,66.81,1.65,0.540,191.74
102,237.24,233.08,6.24,19.73,0.32,0.50,67.78,1.78,0.532,194.42
103,239.60,232.15,6.21,20.17,0.31,0.43,68.17,1.88,0.530,195.92
104,240.66,231.70,6.20,20.37,0.30,0.20,69.95,1.89,0.504,196.07
105,241.30,230.12,5.99,20.66,0.29,0.29,69.60,1.90,0.501,193.30
106,241.97,229.33,5.92,20.84,0.28,0.18,68.22,1.90,0.523,193.80
107,243.33,228.57,5.91,21.10,0.28,0.27,66.83,1.99,0.533,189.41
108,243.60,228.05,5.85,21.20,0.28,0.10,62.90,2.06,0.578,181.93
109,243.57,226.88,5.67,21.41,0.26,0.20,59.89,2.04,0.622,177.51
110,243.87,226.33,5.62,21.51,0.26,0.11,59.34,2.03,0.629,176.13
111,244.49,225.31,5.52,21.72,0.25,0.20,58.51,1.95,0.649,176.86
112,243.82,224.59,5.36,21.89,0.24,0.17,57.98,1.93,0.666,178.25
113,243.55,223.37,5.16,22.10,0.23,0.22,57.69,1.91,0.673,178.31
114,242.78,221.86,4.87,22.39,0.22,0.29,57.98,1.83,0.679,181.78
115,241.79,220.34,4.55,22.70,0.20,0.31,59.53,1.73,0.653,184.17
116,241.24,217.96,4.16,23.12,0.18,0.42,61.63,1.61,0.633,191.44
117,240.70,217.26,4.01,23.28,0.17,0.15,60.91,1.59,0.651,192.18
118,240.25,216.26,3.83,23.46,0.16,0.19,60.94,1.55,0.662,195.77
119,240.12,215.96,3.77,23.52,0.16,0.06,63.68,1.52,0.616,198.78
120,239.18,215.50,3.62,23.70,0.15,0.18,63.67,1.57,0.618,199.28
121,238.10,215.53,3.52,23.88,0.15,0.19,63.54,1.59,0.617,198.19
122,236.25,216.44,3.50,24.24,0.14,0.35,61.96,1.67,0.637,194.56
123,235.05,217.23,3.54,24.48,0.14,0.24,62.82,1.77,0.614,192.86
124,233.73,217.97,3.58,24.74,0.14,0.26,62.92,1.86,0.597,188.20
125,232.31,218.00,3.52,24.99,0.14,0.24,65.28,1.86,0.550,186.35
126,230.93,218.23,3.50,25.23,0.14,0.24,66.09,1.89,0.539,187.38
127,228.37,219.11,3.60,25.69,0.14,0.46,59.60,1.98,0.640,180.78
128,226.38,219.47,3.66,26.04,0.14,0.35,58.20,1.94,0.655,176.42
129,225.32,219.20,3.63,26.23,0.14,0.19,59.00,1.90,0.642,177.72
130,223.91,218.96,3.61,26.47,0.14,0.25,58.46,1.87,0.637,173.30
131,222.12,218.57,3.61,26.79,0.13,0.31,59.23,1.87,0.612,170.88
132,219.25,218.46,3.74,27.28,0.14,0.49,58.48,1.80,0.630,171.56
133,218.66,218.02,3.71,27.41,0.14,0.13,59.11,1.79,0.616,171.18
134,217.44,218.85,3.93,27.66,0.14,0.25,58.14,1.68,0.614,165.14
135,216.83,219.29,4.04,27.79,0.15,0.13,58.45,1.55,0.597,162.40
136,215.36,219.54,4.20,28.05,0.15,0.26,55.26,1.49,0.653,158.54
137,214.84,219.90,4.29,28.15,0.15,0.11,57.85,1.49,0.604,160.93
138,213.33,219.89,4.43,28.41,0.16,0.26,53.74,1.41,0.683,157.04
139,211.72,219.82,4.57,28.69,0.16,0.28,53.32,1.36,0.687,155.33
140,211.02,220.38,4.72,28.84,0.16,0.15,54.33,1.33,0.680,159.63
141,210.12,220.77,4.86,29.01,0.17,0.17,57.45,1.29,0.618,162.31
142,209.70,221.50,5.01,29.16,0.17,0.15,59.53,1.38,0.595,167.76
143,209.30,221.52,5.05,29.23,0.17,0.07,60.03,1.44,0.576,165.23
144,208.78,220.52,4.97,29.42,0.17,0.19,61.41,1.48,0.560,167.94
145,206.38,221.38,5.35,29.86,0.18,0.44,60.85,1.45,0.580,170.77
146,204.40,221.45,5.59,30.20,0.19,0.34,59.35,1.42,0.631,176.83
147,204.29,220.86,5.54,30.30,0.18,0.10,64.47,1.43,0.521,172.27
148,203.24,221.16,5.70,30.49,0.19,0.19,60.70,1.46,0.564,165.41
149,203.32,221.69,5.76,30.58,0.19,0.09,61.69,1.43,0.538,162.99
150,200.26,223.67,6.37,31.20,0.20,0.63,56.50,1.66,0.551,139.99
151,199.37,227.24,6.91,31.83,0.22,0.63,47.58,1.74,0.621,111.86
152,158.44,190.17,11.88,41.31,0.29,9.48,157.68,1.13,0.362,717.20
#
# Fluorescence measurements
#
# Channel 1;Frame, Total Fluo.,Mean Fluo.,Cortex Width, Cyto. Area,Total Cyto. Fluo., Mean Cyto. Fluo.,Cortex Area,Total Cortex Fluo., Mean Cortex Fluo., %age Cortex Fluo.
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
